dataset,model,horizon,shift_type,magnitude,method,mse_after_50
ETTh1,DLinear,720,level,1.0,cosa_plus,1.0204893350601196
ETTh1,DLinear,720,level,1.0,no_tta,1.1348627805709839
ETTh1,DLinear,720,level,1.0,original,1.033247709274292
ETTh1,DLinear,720,level,2.0,cosa_plus,1.160193681716919
ETTh1,DLinear,720,level,2.0,no_tta,1.2890822887420654
ETTh1,DLinear,720,level,2.0,original,1.1762359142303467
ETTh1,DLinear,720,level,3.0,cosa_plus,1.3707458972930908
ETTh1,DLinear,720,level,3.0,no_tta,1.5141351222991943
ETTh1,DLinear,720,level,3.0,original,1.3900408744812012
ETTh1,DLinear,720,spike,1.0,cosa_plus,0.9549371600151062
ETTh1,DLinear,720,spike,1.0,no_tta,1.0553746223449707
ETTh1,DLinear,720,spike,1.0,original,0.9645259380340576
ETTh1,DLinear,720,spike,2.0,cosa_plus,0.9610421657562256
ETTh1,DLinear,720,spike,2.0,no_tta,1.0620503425598145
ETTh1,DLinear,720,spike,2.0,original,0.9707596302032471
ETTh1,DLinear,720,spike,3.0,cosa_plus,0.9699252247810364
ETTh1,DLinear,720,spike,3.0,no_tta,1.0715038776397705
ETTh1,DLinear,720,spike,3.0,original,0.9797711968421936
ETTh1,DLinear,720,trend,1.0,cosa_plus,0.9599923491477966
ETTh1,DLinear,720,trend,1.0,no_tta,1.0622612237930298
ETTh1,DLinear,720,trend,1.0,original,0.9699901342391968
ETTh1,DLinear,720,trend,2.0,cosa_plus,0.971266508102417
ETTh1,DLinear,720,trend,2.0,no_tta,1.07593834400177
ETTh1,DLinear,720,trend,2.0,original,0.9818023443222046
ETTh1,DLinear,720,trend,3.0,cosa_plus,0.9854328632354736
ETTh1,DLinear,720,trend,3.0,no_tta,1.0925077199935913
ETTh1,DLinear,720,trend,3.0,original,0.9965068697929382
ETTh1,DLinear,720,variance,1.0,cosa_plus,0.9516102075576782
ETTh1,DLinear,720,variance,1.0,no_tta,1.0514767169952393
ETTh1,DLinear,720,variance,1.0,original,0.96107017993927
ETTh1,DLinear,720,variance,2.0,cosa_plus,1.077815055847168
ETTh1,DLinear,720,variance,2.0,no_tta,1.1770129203796387
ETTh1,DLinear,720,variance,2.0,original,1.0872092247009277
ETTh1,DLinear,720,variance,3.0,cosa_plus,1.303288459777832
ETTh1,DLinear,720,variance,3.0,no_tta,1.4018131494522095
ETTh1,DLinear,720,variance,3.0,original,1.3126128911972046
